ISB_Service,bus_stop_board,bus_stop_alight,day_of_the_week,time_start,travel_duration,frequency,punctuality,cleanliness,safety,coverage,crowdedness
A2,KR Bus Terminal,S17,Thursday,09:00:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,5.0
A2,KR Bus Terminal,S17,Friday,09:00:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,5.0
A1,KR Bus Terminal,KR MRT,Thursday,11:30:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4.0
D2,KR MRT,UTown,Tuesday,13:30:00,20 - 30 minutes,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,5.0
A1,KR MRT,CLB,Tuesday,09:40:00,20 - 30 minutes,Very dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,5.0
A1,KR MRT,CLB,Friday,09:40:00,20 - 30 minutes,Very dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,5.0
A1,KR MRT,CLB,Thursday,09:40:00,15 - 20 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
D2,UTown,S17,Monday,13:50:00,5 - 10 minutes,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,5.0
D2,Opp KR MRT,COM3,Monday,13:42:17,10 - 15 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,4.0
D2,LT27,UTown,Friday,13:50:00,10 - 15 minutes,Neutral,Satisfied,Satisfied,Dissatisfied,Neutral,5.0
A2,KR Bus Terminal,S17,Wednesday,07:45:45,15 - 20 minutes,Neutral,Neutral,Very Satisfied,Satisfied,Satisfied,2.0
A2,IT,Opp KR MRT,Thursday,18:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,5.0
A2,IT,Opp KR MRT,Friday,18:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,5.0
D1,CLB,BIZ2,Monday,10:00:00,5 - 10 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,1.0
D2,COM3,UTown,Friday,15:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,2.0
D2,COM3,UTown,Sunday,15:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,2.0
D2,Opp KR MRT,COM3,Monday,15:35:00,5 - 10 minutes,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Very Satisfied,2.0
D1,IT,UTown,Monday,13:40:00,5 - 10 minutes,Dissatisfied,Dissatisfied,Satisfied,Very dissatisfied,Neutral,5.0
A1,KR MRT,CLB,Thursday,09:30:00,10 - 15 minutes,Neutral,Satisfied,Satisfied,Neutral,Neutral,5.0
A1,KR MRT,CLB,Friday,09:30:00,10 - 15 minutes,Neutral,Satisfied,Satisfied,Neutral,Neutral,5.0
D2,KR MRT,UTown,Monday,13:35:00,15 - 20 minutes,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,5.0
D1,IT,UTown,Wednesday,14:30:00,10 - 15 minutes,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,1.0
D1,IT,UTown,Wednesday,20:00:00,5 - 10 minutes,Very dissatisfied,Very dissatisfied,Satisfied,Satisfied,Neutral,5.0
D2,University Hall,UTown,Tuesday,19:45:00,5 - 10 minutes,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,1.0
D2,University Hall,UTown,Friday,19:45:00,5 - 10 minutes,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,1.0
D1,Opp HSSML,UTown,Tuesday,12:00:00,10 - 15 minutes,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,1.0
D1,IT,UTown,Tuesday,13:45:00,5 - 10 minutes,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,5.0
D1,IT,UTown,Thursday,13:45:00,5 - 10 minutes,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,5.0
D2,KR MRT,UTown,Tuesday,11:40:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,5.0
D2,UTown,S17,Thursday,11:40:00,5 - 10 minutes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,5.0
A2,Opp KR MRT,Opp HSSML,Monday,09:40:00,10 - 15 minutes,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
